file,mean_rms_db,median_rms_db,std_rms_db,silence_ratio,num_frames,sr,noise_score
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0008_0016_add.wav,-184.93040466308594,-200.0,46.325740814208984,0.9647188533627343,907,16000,1.9550662059418737
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0004_0017_add.wav,-183.8725128173828,-200.0,47.826515197753906,0.9580536912751678,596,16000,1.9405473907590007
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0008_0012_add.wav,-184.1444091796875,-200.0,47.13736343383789,0.9537953795379538,606,16000,1.9373267143428445
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0004_0001_add.wav,-184.18313598632812,-200.0,47.50925064086914,0.9532258064516129,620,16000,1.9369110032053514
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0008_0003_add.wav,-182.85464477539062,-200.0,48.84919357299805,0.9535283993115319,581,16000,1.9287756611156794
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0008_0004_add.wav,-178.0561065673828,-200.0,54.077552795410156,0.9735744089012517,719,16000,1.921456995330653
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0008_0019_add.wav,-182.19737243652344,-200.0,49.72256851196289,0.9494219653179191,692,16000,1.9197954147353058
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0008_0019_add.wav,-179.13253784179688,-200.0,52.975372314453125,0.96513470681458,631,16000,1.918508191021758
HD-Track2-dev\HD-Track2-dev-en\Negation or Dissatisfaction\clean_0007_0006.wav,-185.5341339111328,-200.0,46.29180908203125,0.9288164665523156,1166,16000,1.9171234941981639
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0008_0009_add.wav,-179.79324340820312,-200.0,52.41848373413086,0.9581529581529582,693,16000,1.9146007876434115
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0006_0013_add.wav,-185.2408905029297,-200.0,47.07061767578125,0.9269102990033222,602,16000,1.91303069750774
HD-Track2-dev\HD-Track2-dev-zh\Silence or Termination\clean_0004_0001_add.wav,-177.7781219482422,-200.0,54.622230529785156,0.9676898222940227,619,16000,1.912829751429732
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0008_0014_add.wav,-179.58753967285156,-200.0,52.570526123046875,0.9556259904912837,631,16000,1.9103445000725148
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0002_0001.wav,-181.31881713867188,-200.0,50.848960876464844,0.9431137724550899,668,16000,1.9068379754359173
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0008_0013_add.wav,-180.03147888183594,-200.0,52.24000930786133,0.9497716894977168,657,16000,1.906364839117606
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0008_0019_add.wav,-181.6068878173828,-200.0,50.578243255615234,0.9364820846905537,614,16000,1.900957396684011
HD-Track2-dev\HD-Track2-dev-zh\User Real-time Backchannels\clean_0002_0024.wav,-178.11294555664062,-200.0,53.60286331176758,0.955249569707401,581,16000,1.9004851645044756
HD-Track2-dev\HD-Track2-dev-en\Silence or Termination\clean_0009_0045.wav,-184.29098510742188,-200.0,49.20337677001953,0.9211746522411128,647,16000,1.9002840027250678
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0004_0002_add.wav,-181.0217742919922,-200.0,51.47195053100586,0.9385964912280702,684,16000,1.8996808757853363
HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\clean_0010_0018_add.wav,-184.67564392089844,-200.0,49.70204162597656,0.9170068027210885,735,16000,1.8978890799802155
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0002_0005.wav,-180.52108764648438,-200.0,51.243309020996094,0.939209726443769,658,16000,1.8971959910826808
HD-Track2-dev\HD-Track2-dev-en\Topic Switching\clean_0007_0038.wav,-183.3711700439453,-200.0,49.45036697387695,0.921612541993281,893,16000,1.8949171863270693
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0006_0009_add.wav,-183.1408233642578,-200.0,49.58706283569336,0.9224806201550387,645,16000,1.8944561901190842
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0002_0003.wav,-177.6068572998047,-200.0,54.39162826538086,0.9496951219512195,656,16000,1.890784951057654
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0008_0024.wav,-183.6533966064453,-200.0,49.347694396972656,0.9158730158730158,630,16000,1.8900379826048144
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0005_0004_add.wav,-179.06134033203125,-200.0,53.442848205566406,0.9401574803149606,635,16000,1.8889732011024227
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0008_0015_add.wav,-178.21505737304688,-200.0,54.15357208251953,0.9440993788819876,644,16000,1.8881557716189805
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0008_0004_add.wav,-179.33131408691406,-200.0,52.86263656616211,0.9378787878787879,660,16000,1.8880450429998599
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0004_0012_add.wav,-181.2965087890625,-200.0,51.53472900390625,0.9252615844544095,669,16000,1.8859107689228731
HD-Track2-dev\HD-Track2-dev-en\Topic Switching\clean_0005_0003_add.wav,-183.69422912597656,-200.0,50.57960891723633,0.910360884749709,859,16000,1.883881276750551
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0010_0018_add.wav,-182.92681884765625,-200.0,50.72370910644531,0.9143258426966292,712,16000,1.8835946067159428
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0006_0008_add.wav,-182.61863708496094,-200.0,50.332393646240234,0.9152046783625731,684,16000,1.88264885201923
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0004_0008_add.wav,-182.2297821044922,-200.0,50.43832015991211,0.9170731707317074,615,16000,1.8823399043857933
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0004_0005_add.wav,-177.5900421142578,-200.0,55.318058013916016,0.9409221902017291,694,16000,1.8804635014546105
HD-Track2-dev\HD-Track2-dev-zh\User Real-time Backchannels\clean_0013_0008.wav,-182.35179138183594,-200.0,50.6120719909668,0.9136690647482014,556,16000,1.8791561315041152
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0008_0001_add.wav,-178.23255920410156,-200.0,53.997005462646484,0.9358778625954198,655,16000,1.8786955649071166
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0002_0013.wav,-177.6122283935547,-200.0,54.452457427978516,0.9375951293759512,657,16000,1.8767316671871965
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0013_0010.wav,-182.42041015625,-200.0,51.358036041259766,0.9107391910739191,717,16000,1.8761833824548688
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0009_0015.wav,-181.84988403320312,-200.0,51.503936767578125,0.9136690647482014,695,16000,1.8759494794339076
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0003_0003_add.wav,-183.0288543701172,-200.0,50.48387145996094,0.9071537290715372,657,16000,1.8758962629611122
HD-Track2-dev\HD-Track2-dev-zh\User Real-time Backchannels\clean_0008_0024.wav,-182.32447814941406,-200.0,51.13252258300781,0.910958904109589,584,16000,1.8758262835839643
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0002_0034.wav,-180.6683807373047,-200.0,51.695377349853516,0.9194395796847635,571,16000,1.8751193441876741
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0003_0006_add.wav,-182.6916961669922,-200.0,50.9205436706543,0.9081081081081082,740,16000,1.874853332260461
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0004_0003_add.wav,-179.93455505371094,-200.0,52.98798370361328,0.9228441754916793,661,16000,1.8743948337554235
HD-Track2-dev\HD-Track2-dev-zh\Third-party Speech_after\clean_0006_0004.wav,-181.39849853515625,-200.0,51.86257553100586,0.9147398843930635,692,16000,1.8743123260193464
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0001_0035.wav,-182.15638732910156,-200.0,52.51018142700195,0.9100145137880987,689,16000,1.8736528419929779
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0001_0026.wav,-181.8701171875,-200.0,52.94452667236328,0.910581222056632,671,16000,1.8724836801151454
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0006_0007.wav,-182.08689880371094,-200.0,51.32121658325195,0.909217877094972,716,16000,1.8722813881859475
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0008_0006_add.wav,-178.425048828125,-200.0,54.28408432006836,0.92914653784219,621,16000,1.8720883213962922
HD-Track2-dev\HD-Track2-dev-zh\User Real-time Backchannels\clean_0002_0034.wav,-179.47979736328125,-200.0,52.93745803833008,0.9228070175438596,570,16000,1.8714461559564053
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0004_0006_add.wav,-178.66000366210938,-200.0,54.43918228149414,0.9270976616231087,727,16000,1.8712039967867602
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0007_0001_add.wav,-181.48178100585938,-200.0,52.15656661987305,0.9114927344782034,757,16000,1.871063868669546
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0005_0027.wav,-180.97354125976562,-200.0,53.668975830078125,0.9136442141623489,579,16000,1.8703216521141464
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0009_0020.wav,-181.06227111816406,-200.0,52.279388427734375,0.9127105666156202,653,16000,1.8698015278901825
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0015_0007.wav,-181.56332397460938,-200.0,52.69425964355469,0.909556313993174,586,16000,1.8693303343291343
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0006_0019_add.wav,-180.57498168945312,-200.0,52.55858612060547,0.9147496617050067,739,16000,1.869062316029369
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0008_0006_add.wav,-177.2947540283203,-200.0,55.308746337890625,0.9326647564469914,698,16000,1.8689630836838975
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0004_0003_add.wav,-179.550048828125,-200.0,53.49060821533203,0.9192364170337739,681,16000,1.8677378621432004
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0006_0020_add.wav,-179.9996795654297,-200.0,52.90171432495117,0.9164265129682997,694,16000,1.8673390491616895
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0006_0010_add.wav,-179.83302307128906,-200.0,53.42125701904297,0.9166666666666666,720,16000,1.866553894680401
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0004_0008_add.wav,-178.37493896484375,-200.0,54.63974380493164,0.9246575342465754,730,16000,1.8665417825189443
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0004_0009_add.wav,-178.18199157714844,-200.0,54.782772064208984,0.9257142857142857,700,16000,1.8665393936065073
HD-Track2-dev\HD-Track2-dev-zh\Third-party Speech_after\clean_0003_0039.wav,-181.0902557373047,-200.0,52.139259338378906,0.9084604715672677,721,16000,1.8650320822646238
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0002_0020.wav,-180.14126586914062,-200.0,52.406494140625,0.9126853377265239,607,16000,1.8638879145923735
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0003_0012_add.wav,-181.54750061035156,-200.0,52.0405158996582,0.9048991354466859,694,16000,1.8638070493417893
HD-Track2-dev\HD-Track2-dev-zh\Speech Directed at Others\clean_0005_0025.wav,-170.31234741210938,-200.0,55.89396286010742,0.9663526244952894,743,16000,1.8635745705988265
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0008_0023.wav,-181.56663513183594,-200.0,52.3939323425293,0.9044862518089725,691,16000,1.863448592482099
HD-Track2-dev\HD-Track2-dev-zh\User Real-time Backchannels\clean_0015_0003.wav,-181.30047607421875,-200.0,51.91587829589844,0.9058614564831261,563,16000,1.863349223130816
HD-Track2-dev\HD-Track2-dev-zh\User Real-time Backchannels\clean_0002_0008.wav,-176.1282958984375,-200.0,56.17643356323242,0.933786078098472,589,16000,1.8628161773617773
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0008_0015_add.wav,-173.482666015625,-200.0,58.34196853637695,0.9481481481481482,675,16000,1.8626346845042066
HD-Track2-dev\HD-Track2-dev-zh\User Real-time Backchannels\clean_0010_0005.wav,-179.69845581054688,-200.0,53.45029830932617,0.9137323943661971,568,16000,1.862277882641585
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0006_0016.wav,-180.55535888671875,-200.0,53.1939811706543,0.9079320113314447,706,16000,1.8609993946749057
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0004_0002_add.wav,-177.61119079589844,-200.0,55.26978302001953,0.9238095238095239,630,16000,1.8606749381934817
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0007_0011.wav,-177.52105712890625,-200.0,55.654048919677734,0.9236526946107785,668,16000,1.8599164895298967
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0004_0003_add.wav,-176.5876007080078,-200.0,56.467899322509766,0.9281150159744409,626,16000,1.8591480248149304
HD-Track2-dev\HD-Track2-dev-zh\Speech Directed at Others\clean_0006_0024.wav,-173.76409912109375,-200.0,57.39571762084961,0.943502824858757,708,16000,1.8590243536394833
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0008_0017_add.wav,-173.94129943847656,-200.0,58.36932373046875,0.942090395480226,708,16000,1.8585120321968378
HD-Track2-dev\HD-Track2-dev-zh\Speech Directed at Others\clean_0005_0024.wav,-170.55636596679688,-200.0,56.79849624633789,0.96,775,16000,1.857737449442317
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0002_0006.wav,-174.90431213378906,-200.0,57.30965805053711,0.9358600583090378,686,16000,1.857410890794584
HD-Track2-dev\HD-Track2-dev-zh\Speech Directed at Others\clean_0005_0032.wav,-168.2119598388672,-200.0,58.932865142822266,0.9713541666666666,768,16000,1.8559784577389067
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0008_0017_add.wav,-172.60304260253906,-200.0,59.288936614990234,0.947209653092006,663,16000,1.8559221730021531
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0004_0010_add.wav,-178.58973693847656,-200.0,54.71794509887695,0.9139280125195618,639,16000,1.8554221042252759
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0002_0024.wav,-177.84678649902344,-200.0,54.97438430786133,0.9173838209982789,581,16000,1.8546989214735816
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0010_0006_add.wav,-180.0099334716797,-200.0,54.0454216003418,0.9049645390070922,705,16000,1.8540597840741562
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0008_0001_add.wav,-173.96926879882812,-200.0,58.411136627197266,0.936923076923077,650,16000,1.8526745977364927
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0015_0021.wav,-180.19869995117188,-200.0,54.35955810546875,0.9020771513353115,674,16000,1.8519041155496083
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0004_0017_add.wav,-179.282470703125,-200.0,54.029388427734375,0.9066147859922179,771,16000,1.8513333987167993
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0005_0011_add.wav,-178.3545684814453,-200.0,54.741390228271484,0.9111747851002865,698,16000,1.8507141421963682
HD-Track2-dev\HD-Track2-dev-zh\Third-party Speech_after\clean_0004_0027.wav,-178.26480102539062,-200.0,54.829776763916016,0.9111111111111111,720,16000,1.85006649059182
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0008_0015_add.wav,-174.9669189453125,-200.0,57.39783477783203,0.9283489096573209,642,16000,1.8490659130157423
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0008_0002_add.wav,-173.30699157714844,-200.0,58.80543518066406,0.9374068554396423,671,16000,1.8490065998621001
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0006_0017_add.wav,-178.85711669921875,-200.0,54.451297760009766,0.90625,640,16000,1.848191133172688
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0008_0005_add.wav,-174.24862670898438,-200.0,58.35272979736328,0.9305019305019305,777,16000,1.8469834796406284
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0003_0024.wav,-179.7381134033203,-200.0,53.6168327331543,0.9003496503496503,572,16000,1.8469501901189889
HD-Track2-dev\HD-Track2-dev-zh\User Real-time Backchannels\clean_0002_0003.wav,-175.57412719726562,-200.0,56.8135986328125,0.9219269102990033,602,16000,1.8454684155124386
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0007_0015_add.wav,-179.8096923828125,-200.0,54.57476806640625,0.8976744186046511,645,16000,1.8442928243383938
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0006_0020_add.wav,-179.39706420898438,-200.0,54.060977935791016,0.8997326203208557,748,16000,1.8440528633596487
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0006_0002_add.wav,-179.95021057128906,-200.0,53.70346450805664,0.895774647887324,710,16000,1.8429787487306124
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0013_0006.wav,-179.2328643798828,-200.0,54.012168884277344,0.899671052631579,608,16000,1.8429321206544607
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0005_0033.wav,-179.46925354003906,-200.0,55.88178634643555,0.8981077147016011,687,16000,1.8426222551568623
